TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-08-28,2026-08-28,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15459.19,15644.98,15459.19,15636.18,15644.96,15638.46,,15645.88,,,108,1675993.26,43,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15700.00,15700.00,15531.00,15630.00,15630.00,15656.74,,15632.22,,,202,3150699.89,37,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15604.99,15651.00,15505.00,15618.04,15612.00,15608.80,,15614.18,,,1057,16464631.11,117,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15500.00,15670.00,15500.00,15567.27,15560.00,15623.55,,15564.25,,,84,1304138.32,21,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15500.00,15640.00,15500.00,15639.99,15639.99,15611.60,,15639.99,,,38,591291.36,15,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15802.27,16100.00,15566.01,15899.84,15900.00,15802.27,,15875.89,,,98,1548443.06,56,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15610.00,15650.00,15537.65,15631.00,15631.00,15675.16,,15623.60,,,149,2325902.86,20,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15510.00,15621.50,15510.00,15621.50,15621.50,15700.00,,15621.50,,,9,140259.82,5,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15639.95,15640.00,15639.95,15640.00,15640.00,15750.00,,15640.00,,,10,156399.58,3,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15586.26,15586.26,15586.26,15586.26,15586.26,15589.95,,15586.26,,,6,93517.56,5,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15450.01,15599.90,15450.01,15599.90,15599.90,15999.98,,15599.90,,,8,124199.64,2,F1,1,,,,,
2026-08-28,2026-08-28,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15500.00,15596.47,15499.97,15550.00,15550.00,15588.16,,15576.31,,,60,931002.60,29,F1,1,,,,,
