Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-07-20,93.6,93.8,92.5,92.85,7708865,EQ,169795.0,45.4,2249623.0
2022-07-21,93.0,93.9,92.45,93.45,5087714,EQ,109848.0,46.32,1443140.0
2022-07-22,94.25,94.4,93.2,93.6,4860894,EQ,110550.0,43.97,1310512.0
2022-07-25,93.5,96.5,93.35,96.05,9963563,EQ,205117.0,48.58,2098845.0
2022-07-26,97.2,97.65,94.6,94.95,12626469,EQ,228226.0,55.32,2835546.0
2022-07-27,95.1,96.15,94.35,95.95,5255902,EQ,144783.0,36.3,1525216.0
2022-07-28,98.1,102.0,97.15,100.35,137156107,EQ,628262.0,218.31,52403544.0
2022-07-29,103.0,109.3,102.15,107.6,166959934,EQ,618198.0,270.08,45709393.0
2022-08-01,110.5,111.45,106.15,108.25,125365761,EQ,468883.0,267.37,46049399.0
2022-08-02,108.0,108.0,105.35,107.0,64935371,EQ,279505.0,232.32,25645011.0
2022-08-03,107.0,108.45,106.0,107.05,61428846,EQ,235976.0,260.32,24921187.0
2022-08-04,107.5,109.5,106.05,107.7,79526154,EQ,275745.0,288.4,21960173.0
2022-08-05,107.65,109.25,107.1,107.35,54469112,EQ,179580.0,303.31,21748810.0
